FID_1,ProjectNo,Dist,AddMPOName,IDENTIFIER,IDENTIFI_1,DESC_,PROJTYPE,ESTIMPRVAS,ROUTEORDER,TYCOUNTYDI,Routeuniqu,BEGINNINGM,ENDINGMILE,TYROUTENAM,EEC_Intersection,ProjectN_1
496,612,7,Bluegrass ADD,IP20040023,,Reconstruct KY 876 from KY 595 to 1.05mi E of KY 595 (location of former Acres of Land Winery).,Reconstruction,Modernize Roadway-Rural,1,Madison,076-KY-0876  -000,0,1.05,Existing,4.781478557,612
493,613,7,Lexington MPO,IP20060245,7-438,REDUCE CONGESTION ON KY-4 (NEW CIRCLE RD) FROM TRADE CENTER DR TO WOODHILL DR.,MAJOR WIDENING(O),Modernize Roadway-Rural,1,Fayette,034-KY-0004  -000,13.195,14.508,Existing,236.0126791,613
560,614,7,Gateway ADD,IP20060246,,"Widen, improve safety, and reduce congestion on US 460 from Cardinal Lane to High Street in Mount Sterling.",Major Widening,Modernize Roadway-Rural,1,Montgomery,087-US-0460  -000,8.537,9.425,Existing,-9.306161196,614
451,615,7,Lexington MPO,IP20070219,6-Jul,RECONSTRUCT KY 169 FROM US 68 TO 0.54 MILES NORTH OF CLEAR CREEK RD (MP 14.448 TO MP 19.00). (16CCN),RECONSTRUCTION(O),Modernize Roadway-Rural,1,Jessamine,057-KY-0169  -000,14.448,19,Existing,23.12349488,615
465,616,7,Bluegrass ADD,IP20080398,5-806,RECONSTRUCT KY 151 FROM US 127 AT LAWRENCEBURG TO I-64 IN FRANKLIN COUNTY.,RECONSTRUCTION(O),Modernize Roadway-Rural,1,Anderson,003-KY-0151  -000,0,4.587,Existing,22.76176213,616
724,617,7,Bluegrass ADD,IP20080408,,"Reduce congestion, improve safety and provide pedestrian access from US 27 along KY 1939 for 1.90 miles.",Major Widening,Modernize Roadway-Rural,1,Bourbon,009-KY-1939  -000,5.812,7.712,Existing,-3.988280511,617
740,618,7,Bluegrass ADD,IP20080412,,Reduce congestion and reduce crashes on KY 34 (Lexington Road) from Main St. to KY 2324 in Danville,Minor Widening,Modernize Roadway-Rural,1,Boyle,011-KY-0034  -000,13.629,13.891,Existing,-13.12727419,618
578,619,7,Lexington MPO,IP20080430,7-439,"NEW CIRCLE RD: IMPROVE SAFETY AND REDUCE CONGESTION FROM US-68 (HARRODSBURG RD) TO US-60 (VERSAILLES RD). SEE SEGMENTS 2A & 2B IN AUGUST, 1998 ADVANCE PLANNING STUDY.",MINOR WIDENING(O),Modernize Roadway-Rural,1,Fayette,034-KY-0004  -000,2.224,4.335,Existing,-4.770944548,619
707,620,7,Bluegrass ADD,IP20080431,,Improve safety on KY 52 from Boone Creek Road to KY 1150 in Garrard County.,Major Widening,Modernize Roadway-Rural,1,Garrard,040-KY-0052  -000,2.422,4.231,Existing,3.443436354,620
771,621,7,Bluegrass ADD,IP20080441,,Reconstruct KY 21 from KY 1617 to US 421.,Relocation,Modernize Roadway-Rural,1,Madison,076-KY-0021  -000,11.511,14.641,Existing,21.56010006,621
