Join_Count,TARGET_FID,JOIN_FID,OBJECTID,RT_UNIQUE,BEGIN_MP,END_MP,EEC,Roadway,ProjectNo,Routeuniqu,BEGINNINGMILE,ENDINGMILE
1,822,929,1365238,098-KY-0194  -000,19.352,19.489,4.863490043,R2L,944,098-KY-0194  -000,17.951,21
1,834,575,1444868,102-US-0025  -000,15.531,15.586,3.603645659,R2L,738,102-US-0025  -000,15.116,15.666
1,834,682,1444868,102-US-0025  -000,15.531,15.586,3.603645659,R2L,739,102-US-0025  -000,11.893,15.666
1,839,104,1105127,075-KY-0136  -000,12.9649765,13.0929765,3.989127272,R2L,172,075-KY-0136  -000,0,19.334
1,842,475,1644380,120-KY-0169  -000,1.746,1.808,5.324447191,R2L,632,120-KY-0169  -000,0,3
1,850,465,26579,003-KY-0151  -000,3.605,3.7249765,4.102781179,R2L,616,003-KY-0151  -000,0,4.587
1,854,169,1257456,089-KY-0181  -000,14.83,14.9259765,4.392243119,R2L,168,089-KY-0181  -000,12.767,15.751
1,857,466,1480911,105-US-0025  -000,13.715,13.836,3.773004773,R2L,664,105-US-0025  -000,8.827,14.975
1,869,910,976561,065-KY-0011  -000,2.1459765,2.2449765,4.261768495,R2L,844,065-KY-0011  -000,1.082,4.798
1,892,771,1117264,076-KY-0021  -000,14.047,14.1769765,4.922166462,R2L,621,076-KY-0021  -000,11.511,14.641
1,894,608,1236415,087-US-0060  -000,0,0.0489765,4.789568745,R2L,633,087-US-0060  -000,0,2.007
1,897,71,1075916,073-KY-0131  -000,1.397,1.46,5.334860368,R2L,46,073-KY-0131  -000,0,3.603
1,903,292,18998,002-KY-0101  -000,8.45,8.888,3.709990597,R2L,235,002-KY-0101  -000,5.862,13.347
1,909,237,692989,053-KY-0307  -000,0.873,0.9449765,3.572959285,R2L,45,053-KY-0307  -000,0.85,1.05
1,919,26,288458,024-KY-0115  -000,2.9939765,3.0419765,3.743707198,R2L,115,024-KY-0115  -000,2.901,6.87
1,919,60,288458,024-KY-0115  -000,2.9939765,3.0419765,3.743707198,R2L,119,024-KY-0115  -000,2.76,3.009
1,925,127,684379,052-KY-0146  -000,2.494,2.539,5.6805423,R2L,394,052-KY-0146  -000,2.169,6.8
1,931,820,514085,040-KY-0052  -000,0,0.077,4.523883365,R2L,630,040-KY-0052  -000,0,1.53
1,934,169,1257449,089-KY-0181  -000,14.4399765,14.83,4.803907703,R2L,168,089-KY-0181  -000,12.767,15.751
1,950,87,182236,016-KY-0079  -000,12.996,13.367,5.00753463,R2L,228,016-KY-0079  -000,12.538,24.901
1,951,475,1644383,120-KY-0169  -000,0.076,0.208,3.936682869,R2L,632,120-KY-0169  -000,0,3
1,954,451,848623,057-KY-0169  -000,15.0139765,15.196,4.36783514,R2L,615,057-KY-0169  -000,14.448,19
1,955,337,1148308,078-KY-2154  -000,3.196,3.3469765,4.641172258,R2L,336,078-KY-2154  -000,3,3.366
1,971,494,1126809,076-US-0025  -000,0,0.0429765,4.823123335,R2L,661,076-US-0025  -000,0,3.654
1,978,475,1644439,120-KY-0169  -000,2.004,2.047,3.97337364,R2L,632,120-KY-0169  -000,0,3
1,979,928,1391497,099-KY-0011  -000,14.5009765,14.74,3.650473487,R2L,831,099-KY-0011  -000,14,16.7
1,989,707,514101,040-KY-0052  -000,3.282,3.433,4.467590563,R2L,620,040-KY-0052  -000,2.422,4.231
1,991,768,1413067,100-KY-0196  -000,7.902,7.941,5.758438002,R2L,718,100-KY-0196  -000,7.7,8.2
1,1002,768,1413135,100-KY-0196  -000,7.82,7.902,4.849033093,R2L,718,100-KY-0196  -000,7.7,8.2
1,1006,285,497175,037-US-0060  -000,0.468,0.4889765,4.232597877,R2L,395,037-US-0060  -000,0.4,0.6
1,1007,91,17841,002-KY-0100  -000,13.9039765,14.0079765,3.560713703,R2L,195,002-KY-0100  -000,13.1,14.1
1,1008,262,616222,047-KY-1600  -000,2.2809765,2.529,4.557448617,R2L,308,047-KY-1600  -000,0,3.316
1,1010,688,392591,033-KY-0082  -000,0.4499765,0.6729765,4.828961124,R2L,829,033-KY-0082  -000,0,4.1
1,1013,371,36289,004-US-0051  -000,4.265,5.2,3.601595561,R2L,78,004-US-0051  -000,4.644,7.327
1,1026,703,332387,027-US-0127  -000,4.212,4.5049765,4.187232049,R2L,705,027-US-0127  -000,3.895,5.191
1,1036,779,1469109,104-US-0127  -000,16.202,16.3069765,5.382411612,R2L,750,104-US-0127  -000,14.142,18.902
1,1036,783,1469109,104-US-0127  -000,16.202,16.3069765,5.382411612,R2L,682,104-US-0127  -000,14.142,18.195
1,1042,501,3700,001-KY-0055  -000,1.204,1.308,3.504195031,R2L,679,001-KY-0055  -000,0,10.059
1,1051,501,3622,001-KY-0055  -000,2.083,2.125,3.900965346,R2L,679,001-KY-0055  -000,0,10.059
1,1052,127,684667,052-KY-0146  -000,6.29,6.301,3.497425757,R2L,394,052-KY-0146  -000,2.169,6.8
1,1064,262,616251,047-KY-1600  -000,0.38,0.557,4.692894093,R2L,308,047-KY-1600  -000,0,3.316
1,1070,475,1644392,120-KY-0169  -000,0.038,0.076,4.912829835,R2L,632,120-KY-0169  -000,0,3
1,1073,111,181751,016-KY-0070  -000,13.579,13.6999765,3.857691638,R2L,204,016-KY-0070  -000,12.83,14.419
1,1076,501,3624,001-KY-0055  -000,2.41,2.565,4.275570463,R2L,679,001-KY-0055  -000,0,10.059
1,1081,557,525926,041-US-0025  -000,22.288,22.364,5.411212499,R2L,597,041-US-0025  -000,22.114,22.418
1,1082,232,1149661,078-US-0068  -000,6.6639765,7.187,4.363318751,R2L,371,078-US-0068  -000,0,9.364
1,1088,846,1631847,119-KY-0015  -000,9.66,9.887,4.442732387,R2L,848,119-KY-0015  -000,9.515,10.03
1,1091,899,1376660,098-KY-1426  -000,8.216,8.513,3.802442646,R2L,927,098-KY-1426  -000,7.528,9.638
1,1092,474,133442,012-KY-0009  -000,14.797,14.987,4.214921458,R2L,604,012-KY-0009  -000,0,19.857
1,1095,494,1126820,076-US-0025  -000,1.067,1.2469765,4.5323931,R2L,661,076-US-0025  -000,0,3.654
1,1098,788,1122799,076-KY-1156  -000,3.59,3.689,5.163946585,R2L,635,076-KY-1156  -000,0,4.651
1,1100,726,520779,041-KY-0022  -000,6.166,6.337,5.415875571,R2L,558,041-KY-0022  -000,0.63,6.671
1,1103,501,3793,001-KY-0055  -000,2.298,2.41,5.666815616,R2L,679,001-KY-0055  -000,0,10.059
1,1107,522,1446361,102-US-0150  -000,9.8879765,9.8939765,3.540433996,R2L,687,102-US-0150  -000,8.403,10.205
1,1127,478,1118100,076-KY-0052  -000,16.462,16.4969765,4.024526107,R2L,622,076-KY-0052  -000,16.334,22.707
1,1128,261,17932,002-KY-0100  -000,3.523,3.66,5.164123603,R2L,226,002-KY-0100  -000,3.1,4.2
1,1129,881,902110,060-KY-0160  -000,9.235,9.299,3.688397509,R2L,910,060-KY-0160  -000,8.198,9.42
1,1136,360,1168090,079-US-0641  -000,11.468,11.47,4.555175395,R2L,48,079-US-0641  -000,11.147,12.862
1,1158,451,848589,057-KY-0169  -000,16.106,16.357,5.448771711,R2L,615,057-KY-0169  -000,14.448,19
1,1161,899,1376665,098-KY-1426  -000,8.704,8.766,3.762096334,R2L,927,098-KY-1426  -000,7.528,9.638
1,1164,451,848608,057-KY-0169  -000,17.004,17.0399765,4.037998074,R2L,615,057-KY-0169  -000,14.448,19
1,1166,522,1446384,102-US-0150  -000,8.662,8.7219765,3.696820248,R2L,687,102-US-0150  -000,8.403,10.205
1,1173,416,1042256,070-US-0060  -000,3.9869765,4.3729765,3.561729762,R2L,69,070-US-0060  -000,0.875,4.2
1,1182,172,1282779,090-US-0150  -000,4.254,4.668,5.082493335,R2L,327,090-US-0150  -000,1.952,7.653
1,1185,914,323802,026-US-0421  -000,24.4539765,24.55,5.181592968,R2L,860,026-US-0421  -000,24.016,32.824
